grievance_text,severity,severity_level
NO CONNECTION AGAIN!!!,High,High1
HAVING connection GONE CONTINUOUSLY!!! kya ho raha hai,High,High1
ping too high not resolved yet since long time bhai,Low,Low1
"please check, keeps dropping, what is this?",Low,Low1
no connection since morning since long time yaar,High,High2
INTERNET GONE AGAIN!!! kya ho raha hai,High,High1
still router problem since long time yaar,Low,Low1
wifi gone again kya ho raha hai,High,High1
facing disconnecting again and again bhai,Low,High1
having no connection continuously kya masla hai,High,High1
"please check, cannot access sites pls fix yaar",Low,Low1
"please check, no connection pls fix",High,High1
connection GONE PLS FIX!!! bhai,High,Low1
facing speed is low yaar,Low,Low1
having delay in response continuously since long time,Low,High1
"please check, packet loss happening again bhai",Low,High1
delay in response not resolved yet since long time yaar,Low,Low2
disconnecting again and again not resolved yet kya ho raha hai,Low,High1
"please check, no connection since morning",High,High2
ping too high again,Low,High1
intrnet very lagging from last night bhai,Low,Low1
data loss problem pls fix since long time yaar,Low,Low1
"please check, facing delay in response bhai",Low,Low1
DELAY IN RESPONSE SINCE MORNING!!!,Low,Low2
DATA LOSS ISSUE!!! bhai,Low,Low1
"please check, keeps dropping",Low,Low1
internet not working since morning since long time,High,High2
unstable connection from last night yaar,Low,Low1
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!! kya masla hai,Low,High1
NO CONNECTION AGAIN!!! yaar,High,High1
HAVING PING TOO HIGH CONTINUOUSLY!!! bhai,Low,High1
KEEPS DROPPING FROM LAST NIGHT!!!,Low,Low1
no connection pls fix since long time yaar,High,High2
WIFI DOWN FROM LAST NIGHT!!!,High,High1
having wifi down continuously yaar,High,High1
ping too high bhai,Low,Low1
"please check, no connection, what is this? kya ho raha hai",High,High1
"please check, internet not working from last night",High,High1
having internet not working continuously since long time kya ho raha hai,High,High2
data loss issue pls fix kya ho raha hai,Low,Low1
net gone pls fix yaar,High,Low1
keeps dropping since morning since long time,Low,Low1
INTERNET NOT WORKING AGAIN!!! kya ho raha hai,High,High1
"please check, wifi gone since morning yaar",High,Low1
"no connection, what is this? since long time kya ho raha hai",High,High2
WIFI DOWN NOT RESOLVED YET!!! kya ho raha hai,High,High1
facing lag problem kya ho raha hai,Low,Low1
internet not wrkng,High,Low1
"please check, keeps dropping pls fix kya ho raha hai",Low,Low1
"internet gone, what is this? since long time",High,Low1
"please check, net not working not resolved yet kya ho raha hai",High,High1
no connection pls fix bhai,High,High1
internet not functioning again bhai,High,High1
wifi down pls fix since long time,High,High2
"please check, packet loss happening pls fix bhai",Low,Low1
facing disconnecting again and again bhai,Low,High1
speed is low since long time yaar,Low,Low1
still cannot access sites since long time,Low,Low1
"please check, still wifi gone",High,Low1
"please check, having buffering problem continuously",Low,High1
"please check, disconnecting again and again pls fix bhai",Low,High1
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! kya ho raha hai,Low,High1
"please check, internet not working not resolved yet bhai",High,High1
net very slow kya masla hai,Low,Low1
having wifi down continuously since long time,High,High2
CANNOT ACCESS SITES FROM LAST NIGHT!!!,Low,Low1
packet loss happening pls fix since long time bhai,Low,Low1
internet gone from last night since long time yaar,High,Low1
still cannot access sites since long time bhai,Low,Low1
still disconnecting again and again yaar,Low,High1
"please check, lag trouble not resolved yet kya ho raha hai",Low,Low1
"please check, having intrnet not working continuously yaar",High,High1
delay in response again bhai,Low,High1
"please check, internet not working from last night kya ho raha hai",High,High1
"please check, internet very slow since morning kya ho raha hai",Low,Low2
lag trouble not resolved yet bhai,Low,Low1
"disconnecting again and again, what is this? since long time bhai",Low,High1
wifi NOT WORKING!!!,High,High1
"please check, buffering issue, what is this? kya ho raha hai",Low,Low1
"please check, unstable connection",Low,Low1
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!! kya masla hai,Low,High1
"please check, unstable connection not resolved yet bhai",Low,Low1
net slow since morning,Low,Low2
STILL WIFI DOWN!!! bhai,High,High1
"please check, internet not working, what is this? yaar",High,High1
WIFI DOWN AGAIN!!! kya ho raha hai,High,High1
"please check, no connection",High,High1
wifi GONE NOT RESOLVED YET!!! bhai,High,Low1
buffering trouble since morning since long time yaar,Low,Low1
WIFI DOWN AGAIN!!!,High,High1
HAVING DATA LOSS ISSUE CONTINUOUSLY!!! bhai,Low,High1
ping too high again bhai,Low,High1
still connection gone since long time yaar,High,Low1
lag trouble from last night kya ho raha hai,Low,Low1
"please check, internet not functioning not resolved yet kya ho raha hai",High,Low1
packet loss happening again kya masla hai,Low,High1
having internet not working continuously bhai,High,High1
"please check, dns not resolving from last night kya masla hai",Low,Low1
"buffering issue, what is this? kya ho raha hai",Low,Low1
"please check, wifi not working",High,High1
still speed is low since long time,Low,Low1
FACING NET SLOW!!!,Low,Low1
speed is low since long time kya ho raha hai,Low,Low1
CANNOT ACCESS SITES!!! bhai,Low,Low1
net GONE PLS FIX!!!,High,Low1
"ping too high, what is this? since long time",Low,Low1
still lag trouble bhai,Low,Low1
facing no connection since long time,High,High2
wifi not working since morning since long time kya masla hai,High,High2
"please check, no connection since morning kya ho raha hai",High,High2
"please check, having packet loss happening continuously bhai",Low,High1
still speed is low since long time kya ho raha hai,Low,Low1
LAG problem PLS FIX!!! kya ho raha hai,Low,Low1
"please check, facing connection not working",High,High1
"please check, having speed is low continuously kya masla hai",Low,High1
"please check, net gone pls fix",High,Low1
router problem pls fix kya ho raha hai,Low,Low1
still wifi gone kya masla hai,High,Low1
internet not working pls fix since long time bhai,High,High2
"router not working, what is this? kya ho raha hai",Low,High1
still connection gone since long time,High,Low1
connection gone again bhai,High,High1
net not working pls fix since long time,High,High2
"please check, router not wrkng since morning",Low,Low1
"please check, facing delay in response bhai",Low,Low1
packet loss happening since morning since long time bhai,Low,Low1
internet gone not resolved yet since long time bhai,High,Low1
facing wifi down since long time,High,High2
packet loss happening not resolved yet since long time kya ho raha hai,Low,Low1
"wifi not working, what is this? kya ho raha hai",High,High1
"please check, connection not working pls fix bhai",High,High1
"please check, keeps dropping not resolved yet bhai",Low,Low1
"please check, speed is low since morning bhai",Low,Low1
"please check, wifi gone bhai",High,Low1
packet loss happening since long time yaar,Low,Low1
no connection since morning kya ho raha hai,High,High2
"please check, buffering problem since morning kya ho raha hai",Low,Low1
"please check, wifi down again kya ho raha hai",High,High1
having lag trouble continuously yaar,Low,High1
router problem bhai,Low,Low1
having wifi down continuously since long time,High,High2
connection GONE PLS FIX!!!,High,Low1
INTERNET NOT WORKING FROM LAST NIGHT!!! yaar,High,High1
cannot access sites pls fix since long time bhai,Low,Low1
net gone not resolved yet kya ho raha hai,High,Low1
FACING DISCONNECTING AGAIN AND AGAIN!!! kya masla hai,Low,High1
"please check, router problem bhai",Low,Low1
speed is low again yaar,Low,High1
DATA LOSS ISSUE!!! kya ho raha hai,Low,Low1
intrnet not running since morning bhai,High,Low1
"internet not working, what is this? kya ho raha hai",High,High1
having internet not working continuously since long time yaar,High,High2
"please check, keeps dropping not resolved yet bhai",Low,Low1
"please check, lag issue again",Low,High1
"please check, wifi down since morning",High,High2
"NET SLOW, WHAT IS THIS?!!!",Low,Low1
"wifi gone, what is this?",High,Low1
"BUFFERING ISSUE, WHAT IS THIS?!!! yaar",Low,Low1
wifi down from last night yaar,High,High1
having intrnet very slow continuously bhai,Low,High1
"please check, internet gone from last night",High,Low1
"please check, router not working, what is this?",Low,High1
no connection from last night since long time bhai,High,High2
no connection bhai,High,High1
"please check, connection gone, what is this? bhai",High,Low1
lag trouble from last night since long time yaar,Low,Low1
internet not running since long time bhai,High,Low1
facing wifi down bhai,High,High1
connection gone again since long time kya ho raha hai,High,High1
"please check, wifi not working, what is this? bhai",High,High1
"please check, delay in response yaar",Low,Low1
DATA LOSS problem NOT RESOLVED YET!!! bhai,Low,Low1
no connection again kya ho raha hai,High,High1
INTERNET GONE AGAIN!!! yaar,High,High1
DNS NOT RESOLVING!!! kya masla hai,Low,Low1
"please check, wifi down",High,High1
still net gone since long time yaar,High,Low1
STILL BUFFERING ISSUE!!! kya ho raha hai,Low,Low1
still unstable connection since long time,Low,Low1
having internet gone continuously since long time bhai,High,High1
connection gone again since long time bhai,High,High1
NO CONNECTION PLS FIX!!! kya ho raha hai,High,High1
no connection bhai,High,High1
STILL DELAY IN RESPONSE!!!,Low,Low1
router problem from last night since long time yaar,Low,Low1
internet not working from last night since long time bhai,High,High2
cannot access sites pls fix since long time kya masla hai,Low,Low1
no connection not resolved yet,High,High1
INTERNET NOT running NOT RESOLVED YET!!! kya ho raha hai,High,Low1
having data loss issue continuously yaar,Low,High1
still unstable connection since long time bhai,Low,Low1
"please check, connection not working again kya ho raha hai",High,High1
data loss problem from last night since long time,Low,Low1
wifi gone pls fix yaar,High,Low1
FACING ROUTER PROBLEM!!!,Low,Low1
"data loss issue, what is this? since long time yaar",Low,Low1
ping too high since long time,Low,Low1
"please check, dns not resolving from last night kya ho raha hai",Low,Low1
having packet loss happening continuously kya masla hai,Low,High1
"DATA LOSS ISSUE, WHAT IS THIS?!!! yaar",Low,Low1
facing wifi down bhai,High,High1
FACING PING TOO HIGH!!! bhai,Low,Low1
"please check, lag issue from last night kya masla hai",Low,Low1
HAVING INTERNET NOT functioning CONTINUOUSLY!!! bhai,High,High1
DISCONNECTING AGAIN AND AGAIN PLS FIX!!! kya ho raha hai,Low,High1
"please check, no connection not resolved yet",High,High1
"please check, intrnet not wrkng, what is this? kya ho raha hai",High,Low1
INTERNET NOT functioning PLS FIX!!!,High,Low1
net lagging pls fix kya ho raha hai,Low,Low1
STILL net NOT WORKING!!!,High,High1
disconnecting again and again from last night since long time bhai,Low,High1
router not functioning not resolved yet yaar,Low,Low1
"please check, having connection very slow continuously",Low,High1
still speed is low since long time bhai,Low,Low1
no connection pls fix since long time bhai,High,High2
data loss problem from last night yaar,Low,Low1
INTERNET GONE AGAIN!!! bhai,High,High1
wifi down again,High,High1
"please check, wifi down pls fix kya ho raha hai",High,High1
internet very slow since morning yaar,Low,Low2
"lag issue, what is this?",Low,Low1
"please check, wifi down, what is this? kya ho raha hai",High,High1
no connection pls fix since long time kya ho raha hai,High,High2
speed is low from last night kya ho raha hai,Low,Low1
"INTERNET NOT WORKING, WHAT IS THIS?!!! bhai",High,High1
facing net lagging,Low,Low1
dns not resolving pls fix,Low,Low1
INTERNET GONE SINCE MORNING!!!,High,Low1
"please check, router problem pls fix yaar",Low,Low1
disconnecting again and again not resolved yet,Low,High1
wifi down again,High,High1
connection gone pls fix since long time,High,Low1
having connection gone continuously since long time bhai,High,High1
still internet not running since long time,High,Low1
"please check, disconnecting again and again, what is this? yaar",Low,High1
WIFI DOWN FROM LAST NIGHT!!!,High,High1
disconnecting again and again since morning since long time,Low,High1
"please check, net slow kya ho raha hai",Low,Low1
delay in response yaar,Low,Low1
"please check, data loss issue, what is this? bhai",Low,Low1
net not working since morning,High,High2
packet loss happening since morning since long time,Low,Low1
"please check, router not working again",Low,High1
NET too slow FROM LAST NIGHT!!!,Low,Low1
internet not functioning again yaar,High,High1
NO CONNECTION!!! bhai,High,High1
STILL ROUTER NOT WORKING!!!,Low,High1
"please check, having wifi down continuously kya masla hai",High,High1
net very slow since long time bhai,Low,Low2
unstable connection kya ho raha hai,Low,Low1
CANNOT ACCESS SITES PLS FIX!!! yaar,Low,Low1
STILL connection GONE!!! kya ho raha hai,High,Low1
still unstable connection yaar,Low,Low1
wifi gone since morning since long time bhai,High,Low1
wifi down from last night,High,High1
STILL NO CONNECTION!!! yaar,High,High1
SPEED IS LOW!!! bhai,Low,Low1
"please check, facing internet gone",High,Low1
unstable connection from last night,Low,Low1
"KEEPS DROPPING, WHAT IS THIS?!!!",Low,Low1
having router problem continuously since long time kya ho raha hai,Low,High1
still dns not resolving kya masla hai,Low,Low1
wifi gone from last night since long time bhai,High,Low1
"please check, cannot access sites pls fix",Low,Low1
"please check, delay in response since morning",Low,Low2
no connection from last night since long time yaar,High,High2
"please check, no connection pls fix yaar",High,High1
"please check, connection not working from last night",High,High1
STILL PACKET LOSS HAPPENING!!!,Low,Low1
facing keeps dropping yaar,Low,Low1
router not working again since long time,Low,High2
"please check, wifi down since morning bhai",High,High2
data loss problem not resolved yet since long time yaar,Low,Low1
"please check, no connection, what is this? kya ho raha hai",High,High1
still connection not working yaar,High,High1
still internet not working,High,High1
STILL wifi GONE!!! bhai,High,Low1
buffering trouble again since long time yaar,Low,High1
NO CONNECTION FROM LAST NIGHT!!! yaar,High,High1
router not running,Low,Low1
wifi gone pls fix,High,Low1
facing router problem since long time yaar,Low,Low1
"please check, buffering issue pls fix kya ho raha hai",Low,Low1
still lag problem since long time,Low,Low1
"NO CONNECTION, WHAT IS THIS?!!!",High,High1
ROUTER NOT functioning SINCE MORNING!!! yaar,Low,Low1
DATA LOSS trouble SINCE MORNING!!! bhai,Low,Low1
"wifi down, what is this? kya ho raha hai",High,High1
"please check, facing connection gone bhai",High,Low1
"please check, wifi down bhai",High,High1
"please check, disconnecting again and again pls fix yaar",Low,High1
"please check, router problem not resolved yet kya ho raha hai",Low,Low1
still internet not functioning yaar,High,Low1
"please check, still lag problem yaar",Low,Low1
net GONE AGAIN!!!,High,High1
unstable connection kya masla hai,Low,Low1
"please check, facing net too slow bhai",Low,Low1
"router not working, what is this? kya masla hai",Low,High1
"please check, facing wifi down kya masla hai",High,High1
DISCONNECTING AGAIN AND AGAIN FROM LAST NIGHT!!!,Low,High1
facing disconnecting again and again since long time kya ho raha hai,Low,High1
having internet gone continuously since long time,High,High1
internet gone pls fix since long time bhai,High,Low1
"please check, net very slow pls fix kya ho raha hai",Low,Low1
SPEED IS LOW!!! kya ho raha hai,Low,Low1
"UNSTABLE CONNECTION, WHAT IS THIS?!!!",Low,Low1
"please check, cannot access sites from last night bhai",Low,Low1
"please check, facing wifi down kya ho raha hai",High,High1
KEEPS DROPPING AGAIN!!! bhai,Low,High1
ROUTER PROBLEM FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
"wifi down, what is this?",High,High1
STILL INTERNET GONE!!! bhai,High,Low1
"please check, no connection, what is this? kya ho raha hai",High,High1
INTERNET GONE PLS FIX!!! kya ho raha hai,High,Low1
packet loss happening not resolved yet since long time bhai,Low,Low1
"please check, facing packet loss happening kya masla hai",Low,Low1
connection gone again since long time yaar,High,High1
wifi down pls fix since long time yaar,High,High2
"please check, wifi down since morning",High,High2
connection VERY SLOW FROM LAST NIGHT!!! kya masla hai,Low,Low1
"please check, still unstable connection bhai",Low,Low1
net lagging not resolved yet since long time bhai,Low,Low1
"please check, speed is low since morning",Low,Low1
HAVING NO CONNECTION CONTINUOUSLY!!!,High,High1
"router not wrkng, what is this?",Low,Low1
cannot access sites from last night,Low,Low1
router not running not resolved yet since long time,Low,Low1
"please check, wifi down again bhai",High,High1
wifi down from last night yaar,High,High1
"please check, facing wifi down yaar",High,High1
facing packet loss happening yaar,Low,Low1
"please check, facing keeps dropping",Low,Low1
"please check, ping too high since morning yaar",Low,Low1
net lagging from last night bhai,Low,Low1
still ping too high since long time bhai,Low,Low1
NO CONNECTION FROM LAST NIGHT!!! pls fix,High,High1
having wifi gone continuously since long time,High,High1
"please check, disconnecting again and again, what is this? bhai",Low,High1
"please check, facing router not working kya ho raha hai",Low,High1
"please check, facing lag trouble yaar",Low,Low1
NET very slow AGAIN!!! bhai,Low,High1
having net too slow continuously since long time yaar,Low,High1
"please check, net gone from last night",High,Low1
delay in response since morning since long time bhai,Low,Low2
having wifi down continuously bhai,High,High1
internet gone pls fix kya ho raha hai,High,Low1
facing disconnecting again and again,Low,High1
DISCONNECTING AGAIN AND AGAIN!!! kya ho raha hai,Low,High1
cannot access sites not resolved yet since long time yaar,Low,Low1
having wifi down continuously kya ho raha hai,High,High1
facing no connection bhai,High,High1
INTERNET GONE SINCE MORNING!!! kya masla hai,High,Low1
still dns not resolving since long time yaar,Low,Low1
internet very lagging since long time bhai,Low,Low1
FACING WIFI DOWN!!! yaar,High,High1
DISCONNECTING AGAIN AND AGAIN SINCE MORNING!!!,Low,High1
"please check, having net gone continuously bhai",High,High1
facing net lagging,Low,Low1
"please check, internet not working, what is this? bhai",High,High1
intrnet not working pls fix bhai,High,High1
having wifi down continuously since long time bhai,High,High2
UNSTABLE CONNECTION SINCE MORNING!!! yaar,Low,Low1
connection VERY SLOW!!! bhai,Low,Low1
"please check, having keeps dropping continuously",Low,High1
FACING ROUTER NOT WORKING!!! kya ho raha hai,Low,High1
having wifi not working continuously since long time kya ho raha hai,High,High2
having router problem continuously since long time,Low,High1
still wifi not working since long time,High,High2
delay in response from last night bhai,Low,Low1
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!! bhai,Low,High1
"please check, still net slow",Low,Low1
still data loss trouble kya masla hai,Low,Low1
no connection pls fix since long time kya ho raha hai,High,High2
"please check, having dns not resolving continuously",Low,High1
net slow not resolved yet since long time kya ho raha hai,Low,Low2
keeps dropping not resolved yet,Low,Low1
net not working not resolved yet since long time bhai,High,High2
ROUTER PROBLEM NOT RESOLVED YET!!! bhai,Low,Low1
"speed is low, what is this? since long time",Low,Low1
FACING BUFFERING ISSUE!!! kya masla hai,Low,Low1
"please check, ping too high pls fix yaar",Low,Low1
no connection not resolved yet since long time kya ho raha hai,High,High2
disconnecting again and again again since long time bhai,Low,High1
net gone again since long time,High,High1
"keeps dropping, what is this? yaar",Low,Low1
net NOT WORKING FROM LAST NIGHT!!! kya ho raha hai,High,High1
having lag issue continuously,Low,High1
having packet loss happening continuously kya masla hai,Low,High1
net gone yaar,High,Low1
"please check, internet not working from last night bhai",High,High1
WIFI DOWN AGAIN!!! yaar,High,High1
PACKET LOSS HAPPENING!!!,Low,Low1
"lag issue, what is this? since long time yaar",Low,Low1
cannot access sites not resolved yet kya ho raha hai,Low,Low1
"wifi down, what is this? yaar",High,High1
net NOT WORKING NOT RESOLVED YET!!! yaar,High,High1
PING TOO HIGH!!!,Low,Low1
HAVING DATA LOSS trouble CONTINUOUSLY!!! kya ho raha hai,Low,High1
router not running from last night since long time bhai,Low,Low1
"internet not working, what is this? kya ho raha hai",High,High1
"wifi NOT WORKING, WHAT IS THIS?!!! kya ho raha hai",High,High1
INTERNET GONE SINCE MORNING!!!,High,Low1
facing no connection kya masla hai,High,High1
wifi not working bhai,High,High1
net not working from last night since long time,High,High2
WIFI DOWN SINCE MORNING!!! yaar,High,High3
"please check, internet gone since morning bhai",High,Low1
router not functioning since morning bhai,Low,Low1
wifi not wrkng pls fix kya ho raha hai,High,Low1
wifi down pls fix kya ho raha hai,High,High1
internet not running again,High,High1
connection GONE AGAIN!!!,High,High1
SPEED IS LOW AGAIN!!!,Low,High1
no connection since long time bhai,High,High2
internet not working again,High,High1
no connection since long time,High,High2
"please check, net slow pls fix",Low,Low1
"buffering issue, what is this?",Low,Low1
router problem not resolved yet kya ho raha hai,Low,Low1
"unstable connection, what is this?",Low,Low1
"router problem, what is this? bhai",Low,Low1
having no connection continuously,High,High1
ping too high kya masla hai,Low,Low1
"please check, keeps dropping, what is this? yaar",Low,Low1
WIFI DOWN!!!,High,High1
FACING UNSTABLE CONNECTION!!! kya masla hai,Low,Low1
"PACKET LOSS HAPPENING, WHAT IS THIS?!!!",Low,Low1
"please check, facing internet very slow",Low,Low1
NO CONNECTION AGAIN!!! kya ho raha hai,High,High1
FACING ROUTER PROBLEM!!! kya ho raha hai,Low,Low1
net lagging bhai,Low,Low1
having keeps dropping continuously,Low,High1
dns not resolving since long time bhai,Low,Low1
DELAY IN RESPONSE NOT RESOLVED YET!!!,Low,Low1
"please check, lag issue",Low,Low1
net lagging since morning since long time yaar,Low,Low1
ping too high bhai,Low,Low1
STILL net NOT WORKING!!! kya ho raha hai,High,High1
"please check, disconnecting again and again",Low,High1
wifi down yaar,High,High1
KEEPS DROPPING!!! bhai,Low,Low1
lag trouble since morning,Low,Low1
"ping too high, what is this? bhai",Low,Low1
speed is low pls fix bhai,Low,Low1
data loss trouble again kya ho raha hai,Low,High1
internet gone from last night bhai,High,Low1
INTERNET VERY SLOW SINCE MORNING!!! bhai,Low,Low2
STILL NO CONNECTION!!! kya ho raha hai,High,High1
speed is low since morning since long time kya ho raha hai,Low,Low1
"please check, internet gone again bhai",High,High1
net gone not resolved yet since long time,High,Low1
buffering problem pls fix since long time kya ho raha hai,Low,Low1
"please check, wifi down pls fix yaar",High,High1
"please check, buffering issue since morning",Low,Low1
"please check, having disconnecting again and again continuously yaar",Low,High1
having net not working continuously,High,High1
wifi GONE FROM LAST NIGHT!!! bhai,High,Low1
"please check, cannot access sites since morning",Low,Low1
still unstable connection yaar,Low,Low1
unstable connection not resolved yet since long time bhai,Low,Low1
"please check, having cannot access sites continuously yaar",Low,High1
"please check, having packet loss happening continuously yaar",Low,High1
no connection from last night,High,High1
INTERNET GONE AGAIN!!!,High,High1
facing wifi down since long time,High,High2
HAVING INTERNET NOT WORKING CONTINUOUSLY!!! bhai,High,High1
LAG problem AGAIN!!! kya masla hai,Low,High1
WIFI DOWN NOT RESOLVED YET!!! bhai,High,High1
FACING DATA LOSS ISSUE!!!,Low,Low1
speed is low not resolved yet,Low,Low1
keeps dropping from last night yaar,Low,Low1
"please check, still ping too high kya ho raha hai",Low,Low1
having wifi down continuously bhai,High,High1
unstable connection from last night yaar,Low,Low1
"please check, having wifi down continuously kya ho raha hai",High,High1
"please check, no connection pls fix bhai",High,High1
PING TOO HIGH PLS FIX!!! bhai,Low,Low1
internet very slow since morning since long time bhai,Low,Low2
HAVING INTERNET GONE CONTINUOUSLY!!!,High,High1
ROUTER NOT running SINCE MORNING!!! yaar,Low,Low1
"please check, router problem since morning yaar",Low,Low1
"please check, facing no connection",High,High1
cannot access sites from last night bhai,Low,Low1
facing intrnet gone since long time yaar,High,Low1
disconnecting again and again not resolved yet,Low,High1
"please check, still internet not working yaar",High,High1
net GONE FROM LAST NIGHT!!!,High,Low1
buffering issue not resolved yet,Low,Low1
"INTERNET NOT WORKING, WHAT IS THIS?!!! bhai",High,High1
STILL INTERNET NOT WORKING!!! kya masla hai,High,High1
FACING WIFI DOWN!!! kya masla hai,High,High1
STILL DATA LOSS ISSUE!!! bhai,Low,Low1
facing connection gone,High,Low1
"please check, disconnecting again and again again",Low,High1
"please check, internet not functioning yaar",High,Low1
NET SLOW AGAIN!!! kya ho raha hai,Low,High1
"net slow, what is this? yaar",Low,Low1
"wifi down, what is this? bhai",High,High1
"please check, net too slow yaar",Low,Low1
wifi not working again since long time,High,High2
facing wifi down since long time,High,High2
connection gone from last night since long time bhai,High,Low1
still data loss problem since long time,Low,Low1
internet not working from last night kya ho raha hai,High,High1
ping too high from last night since long time kya ho raha hai,Low,Low1
STILL SPEED IS LOW!!! kya ho raha hai,Low,Low1
"please check, no connection kya ho raha hai",High,High1
having wifi down continuously since long time,High,High2
"please check, delay in response again kya ho raha hai",Low,High1
"INTERNET NOT WORKING, WHAT IS THIS?!!!",High,High1
having internet not working continuously since long time yaar,High,High2
"wifi down, what is this? bhai",High,High1
unstable connection pls fix since long time kya ho raha hai,Low,Low1
packet loss happening not resolved yet since long time kya masla hai,Low,Low1
"data loss issue, what is this?",Low,Low1
WIFI DOWN AGAIN!!! yaar,High,High1
no connection pls fix since long time,High,High2
no connection from last night since long time kya masla hai,High,High2
facing dns not resolving since long time kya ho raha hai,Low,Low1
facing no connection since long time bhai,High,High2
"unstable connection, what is this? since long time yaar",Low,Low1
STILL DISCONNECTING AGAIN AND AGAIN!!! yaar,Low,High1
delay in response from last night since long time bhai,Low,Low2
"please check, no connection kya ho raha hai",High,High1
"data loss issue, what is this? since long time bhai",Low,Low1
"please check, internet not running pls fix bhai",High,Low1
net too slow from last night bhai,Low,Low1
FACING NO CONNECTION!!!,High,High1
disconnecting again and again not resolved yet since long time bhai,Low,High1
wifi down from last night yaar,High,High1
"please check, having cannot access sites continuously kya ho raha hai",Low,High1
"unstable connection, what is this? kya ho raha hai",Low,Low1
ROUTER NOT functioning SINCE MORNING!!! bhai,Low,Low1
"please check, wifi down, what is this? bhai",High,High1
wifi down not resolved yet since long time yaar,High,High2
unstable connection from last night since long time,Low,Low1
DNS NOT RESOLVING NOT RESOLVED YET!!! yaar,Low,Low1
cannot access sites pls fix since long time kya ho raha hai,Low,Low1
WIFI DOWN FROM LAST NIGHT!!! bhai,High,High1
data loss problem not resolved yet since long time kya masla hai,Low,Low1
speed is low since long time bhai,Low,Low1
internet gone from last night since long time,High,Low1
"please check, no connection pls fix bhai",High,High1
speed is low again since long time yaar,Low,High1
having net gone continuously,High,High1
facing packet loss happening since long time kya ho raha hai,Low,Low1
"please check, net slow pls fix kya ho raha hai",Low,Low1
FACING SPEED IS LOW!!!,Low,Low1
keeps dropping not resolved yet since long time bhai,Low,Low1
no connection again since long time,High,High2
STILL SPEED IS LOW!!! bhai,Low,Low1
"please check, router problem pls fix yaar",Low,Low1
"please check, having internet not working continuously bhai",High,High1
dns not resolving pls fix since long time yaar,Low,Low1
"buffering issue, what is this? since long time kya ho raha hai",Low,Low1
connection GONE FROM LAST NIGHT!!! yaar,High,Low1
"please check, no connection not resolved yet kya ho raha hai",High,High1
"please check, no connection from last night yaar",High,High1
router problem not resolved yet bhai,Low,Low1
WIFI DOWN PLS FIX!!! bhai,High,High1
still ping too high since long time yaar,Low,Low1
speed is low pls fix yaar,Low,Low1
NO CONNECTION SINCE MORNING!!! bhai,High,High3
"please check, data loss issue again",Low,High1
"please check, speed is low again",Low,High1
PACKET LOSS HAPPENING!!!,Low,Low1
CANNOT ACCESS SITES FROM LAST NIGHT!!! kya ho raha hai,Low,Low1
"please check, internet not working pls fix kya masla hai",High,High1
"please check, facing speed is low",Low,Low1
"router problem, what is this? yaar",Low,Low1
"please check, disconnecting again and again again",Low,High1
STILL PING TOO HIGH!!! kya ho raha hai,Low,Low1
having ping too high continuously since long time,Low,High1
having intrnet not functioning continuously since long time kya masla hai,High,High1
"please check, packet loss happening",Low,Low1
"please check, lag trouble pls fix bhai",Low,Low1
disconnecting again and again since morning since long time bhai,Low,High1
"buffering issue, what is this? since long time",Low,Low1
delay in response since morning,Low,Low2
disconnecting again and again pls fix kya ho raha hai,Low,High1
net gone not resolved yet since long time kya ho raha hai,High,Low1
wifi down from last night since long time,High,High2
"packet loss happening, what is this? since long time yaar",Low,Low1
NO CONNECTION FROM LAST NIGHT!!!,High,High1
CANNOT ACCESS SITES PLS FIX!!! kya ho raha hai,Low,Low1
having intrnet not working continuously,High,High1
"please check, facing net gone kya ho raha hai",High,Low1
PING TOO HIGH PLS FIX!!! kya masla hai,Low,Low1
"buffering issue, what is this?",Low,Low1
"please check, router not working pls fix kya masla hai",Low,High1
facing disconnecting again and again bhai,Low,High1
HAVING PACKET LOSS HAPPENING CONTINUOUSLY!!!,Low,High1
"WIFI DOWN, WHAT IS THIS?!!! kya ho raha hai",High,High1
ROUTER NOT WORKING!!! yaar,Low,High1
facing data loss problem since long time kya masla hai,Low,Low1
"SPEED IS LOW, WHAT IS THIS?!!! bhai",Low,Low1
FACING ROUTER NOT WORKING!!! bhai,Low,High1
NO CONNECTION AGAIN!!!,High,High1
no connection since long time bhai,High,High2
"please check, having internet not functioning continuously",High,High1
"please check, having cannot access sites continuously kya ho raha hai",Low,High1
"internet not working, what is this? kya ho raha hai",High,High1
KEEPS DROPPING AGAIN!!!,Low,High1
"please check, wifi down again kya ho raha hai",High,High1
"data loss issue, what is this? since long time kya ho raha hai",Low,Low1
NO CONNECTION NOT RESOLVED YET!!! bhai,High,High1
internet not working since morning bhai,High,High2
"please check, router problem, what is this? bhai",Low,Low1
ROUTER NOT WORKING!!! yaar,Low,High1
"please check, internet gone bhai",High,Low1
connection gone from last night since long time bhai,High,Low1
router problem pls fix bhai,Low,Low1
"internet very slow, what is this? since long time yaar",Low,Low2
DELAY IN RESPONSE SINCE MORNING!!! kya ho raha hai,Low,Low2
