grievance_text,predicted_probability,severity
please check unstable connection pls fix,2.38E-06,Low
please check disconnecting again and again from last night bhai,2.01E-06,Low
router problem since morning bhai,1.91E-06,Low
router not running from last night bhai,1.93E-06,Low
keeps dropping again since long time yaar,1.90E-06,Low
please check keeps dropping what is this,2.01E-06,Low
please check keeps dropping from last night kya ho raha hai,2.02E-06,Low
router problem since morning since long time yaar,1.90E-06,Low
router not working from last night yaar,1.97E-06,Low
still wifi down,0.99999857,High
please check buffering trouble from last night bhai,2.02E-06,Low
having unstable connection continuously bhai,2.05E-06,Low
disconnecting again and again what is this kya masla hai,1.90E-06,Low
having wifi down continuously bhai,0.99999857,High
disconnecting again and again since morning kya ho raha hai,1.90E-06,Low
please check having speed is low continuously,2.09E-06,Low
ping too high not resolved yet yaar,1.92E-06,Low
facing net slow bhai,2.09E-06,Low
please check keeps dropping bhai,2.01E-06,Low
unstable connection pls fix kya ho raha hai,2.11E-06,Low
please check keeps dropping since morning kya ho raha hai,2.01E-06,Low
facing disconnecting again and again yaar,1.95E-06,Low
dns not resolving what is this yaar,1.94E-06,Low
please check net slow since morning yaar,2.26E-06,Low
speed is low from last night kya ho raha hai,1.92E-06,Low
still buffering issue since long time yaar,1.97E-06,Low
having no connection continuously yaar,0.99999857,High
please check having data loss problem continuously,2.05E-06,Low
having internet not running continuously bhai,0.99999845,High
having internet very slow continuously bhai,2.27E-06,Low
having keeps dropping continuously bhai,1.96E-06,Low
please check unstable connection what is this yaar,2.22E-06,Low
having keeps dropping continuously since long time,1.96E-06,Low
please check internet gone what is this bhai,0.99999845,High
lag trouble not resolved yet,1.91E-06,Low
still ping too high kya ho raha hai,1.97E-06,Low
lag issue pls fix kya ho raha hai,1.90E-06,Low
cannot access sites what is this yaar,1.91E-06,Low
dns not resolving since morning since long time kya ho raha hai,1.94E-06,Low
packet loss happening pls fix yaar,1.91E-06,Low
having dns not resolving continuously yaar,1.99E-06,Low
router not wrkng pls fix since long time bhai,1.94E-06,Low
internet very lagging pls fix,3.61E-06,Low
no connection what is this bhai,0.99999857,High
buffering issue what is this,1.91E-06,Low
please check delay in response what is this,2.00E-06,Low
intrnet very too slow pls fix since long time,2.04E-06,Low
disconnecting again and again since morning,1.90E-06,Low
intrnet gone since morning bhai,0.99999857,High
having speed is low continuously yaar,1.96E-06,Low
having connection very slow continuously kya ho raha hai,2.12E-06,Low
disconnecting again and again what is this kya masla hai,1.90E-06,Low
connection not working pls fix yaar,0.99999857,High
facing speed is low since long time bhai,1.96E-06,Low
speed is low not resolved yet kya ho raha hai,1.93E-06,Low
having cannot access sites continuously since long time kya masla hai,1.96E-06,Low
having packet loss happening continuously kya ho raha hai,1.96E-06,Low
having speed is low continuously yaar,1.96E-06,Low
still connection very slow bhai,2.15E-06,Low
please check packet loss happening what is this,1.99E-06,Low
keeps dropping kya ho raha hai,1.91E-06,Low
packet loss happening not resolved yet bhai,1.92E-06,Low
connection gone what is this bhai,0.99999857,High
please check wifi gone not resolved yet,0.99999845,High
net lagging since long time yaar,2.35E-06,Low
please check wifi gone what is this yaar,0.99999845,High
please check still no connection,0.99999845,High
unstable connection from last night since long time,1.99E-06,Low
dns not resolving not resolved yet bhai,1.95E-06,Low
having buffering trouble continuously bhai,1.97E-06,Low
please check lag trouble,2.02E-06,Low
buffering problem not resolved yet,1.92E-06,Low
net slow yaar,2.08E-06,Low
please check keeps dropping pls fix bhai,2.02E-06,Low
please check net not working kya ho raha hai,0.99999845,High
please check net slow since morning pls fix,2.27E-06,Low
still net too slow bhai,2.04E-06,Low
keeps dropping from last night,1.91E-06,Low
delay in response not resolved yet since long time,1.92E-06,Low
net gone again since long time bhai,0.99999857,High
delay in response what is this since long time,1.92E-06,Low
please check ping too high since morning bhai,2.00E-06,Low
keeps dropping what is this kya masla hai,1.91E-06,Low
ping too high what is this yaar,1.92E-06,Low
internet very slow pls fix since long time,2.41E-06,Low
speed is low not resolved yet,1.93E-06,Low
no connection what is this since long time yaar,0.99999857,High
data loss issue pls fix yaar,1.92E-06,Low
net not working what is this bhai,0.99999845,High
buffering problem pls fix since long time,1.90E-06,Low
please check disconnecting again and again from last night kya masla hai,2.01E-06,Low
net slow what is this since long time,2.03E-06,Low
lag issue what is this yaar,1.90E-06,Low
please check wifi down from last night kya ho raha hai,0.99999845,High
packet loss happening from last night since long time bhai,1.92E-06,Low
delay in response kya ho raha hai,1.92E-06,Low
still unstable connection bhai,2.09E-06,Low
please check having wifi gone continuously bhai,0.99999845,High
dns not resolving what is this bhai,1.94E-06,Low
please check buffering problem since morning kya ho raha hai,2.01E-06,Low
please check no connection bhai,0.99999845,High
wifi down pls fix since long time yaar,0.99999857,High
disconnecting again and again,1.91E-06,Low
delay in response since morning since long time kya ho raha hai,1.92E-06,Low
internet very slow since morning since long time asap,2.33E-06,Low
please check having lag problem continuously kya ho raha hai,2.07E-06,Low
having packet loss happening continuously kya ho raha hai,1.96E-06,Low
buffering issue since morning since long time,1.91E-06,Low
internet very slow again bhai,2.30E-06,Low
facing internet very too slow since long time yaar,2.22E-06,Low
keeps dropping from last night kya masla hai,1.91E-06,Low
please check still unstable connection,2.40E-06,Low
having dns not resolving continuously kya masla hai,1.99E-06,Low
disconnecting again and again yaar,1.90E-06,Low
facing speed is low kya ho raha hai,1.97E-06,Low
please check disconnecting again and again from last night kya ho raha hai,2.02E-06,Low
wifi gone from last night bhai,0.99999857,High
connection gone what is this since long time,0.99999857,High
disconnecting again and again again since long time,1.89E-06,Low
data loss trouble from last night bhai,1.93E-06,Low
wifi not working what is this bhai,0.99999857,High
having keeps dropping continuously since long time,1.96E-06,Low
please check facing delay in response kya masla hai,2.09E-06,Low
router not working what is this kya ho raha hai,1.96E-06,Low
unstable connection since morning yaar,2.00E-06,Low
keeps dropping again since long time bhai,1.90E-06,Low
please check still router problem bhai,2.06E-06,Low
router not functioning from last night yaar,1.94E-06,Low
internet gone not resolved yet kya masla hai,0.99999857,High
having ping too high continuously since long time kya ho raha hai,1.96E-06,Low
please check having net gone continuously bhai,0.99999845,High
please check facing ping too high,2.06E-06,Low
internet very too slow again,2.21E-06,Low
still unstable connection bhai,2.09E-06,Low
internet not working pls fix since long time kya masla hai,0.99999857,High
net very slow what is this since long time yaar,2.00E-06,Low
packet loss happening what is this kya ho raha hai,1.92E-06,Low
please check facing speed is low,2.10E-06,Low
having router problem continuously,1.97E-06,Low
intrnet gone from last night,0.99999857,High
please check disconnecting again and again not resolved yet kya masla hai,2.02E-06,Low
router problem again kya ho raha hai,1.90E-06,Low
internet very lagging again yaar,2.91E-06,Low
facing packet loss happening,1.97E-06,Low
facing internet very very slow kya ho raha hai,2.21E-06,Low
cannot access sites not resolved yet since long time,1.91E-06,Low
disconnecting again and again,1.91E-06,Low
no connection bhai,0.99999857,High
having ping too high continuously since long time kya masla hai,1.96E-06,Low
please check lag issue what is this bhai,2.00E-06,Low
having net not working continuously yaar,0.99999845,High
disconnecting again and again pls fix bhai,1.90E-06,Low
having unstable connection continuously yaar,2.06E-06,Low
lag issue since morning since long time bhai,1.90E-06,Low
still internet gone,0.99999845,High
connection not working pls fix yaar,0.99999857,High
facing net not working yaar,0.99999845,High
please check wifi down not resolved yet,0.99999845,High
router problem from last night since long time yaar,1.90E-06,Low
still internet very too slow since long time kya masla hai,2.24E-06,Low
having wifi down continuously since long time kya ho raha hai,0.99999857,High
please check internet very slow,2.67E-06,Low
having net very slow continuously since long time,2.01E-06,Low
router not working since morning since long time,1.96E-06,Low
having packet loss happening continuously since long time,1.96E-06,Low
packet loss happening since morning yaar,1.91E-06,Low
facing net gone bhai,0.99999845,High
having buffering problem continuously yaar,1.96E-06,Low
still wifi down since long time yaar,0.99999857,High
ping too high what is this bhai,1.92E-06,Low
data loss trouble not resolved yet bhai,1.93E-06,Low
disconnecting again and again since morning since long time kya ho raha hai,1.90E-06,Low
please check net slow since morning yaar,2.26E-06,Low
please check internet very slow since morning,2.67E-06,Low
please check facing speed is low bhai,2.10E-06,Low
wifi gone what is this kya ho raha hai,0.99999857,High
disconnecting again and again not resolved yet,1.90E-06,Low
speed is low pls fix yaar,1.92E-06,Low
no connection pls fix bhai,0.99999857,High
facing wifi not working kya ho raha hai,0.99999857,High
please check disconnecting again and again what is this bhai,2.01E-06,Low
facing delay in response bhai,1.96E-06,Low
lag issue not resolved yet since long time bhai,1.91E-06,Low
keeps dropping pls fix bhai,1.91E-06,Low
facing keeps dropping bhai,1.97E-06,Low
please check ping too high from last night kya ho raha hai,2.00E-06,Low
net slow what is this,2.04E-06,Low
net very slow again,2.01E-06,Low
having disconnecting again and again continuously since long time,1.95E-06,Low
internet not working again,0.99999857,High
net too slow from last night,2.01E-06,Low
keeps dropping since morning,1.92E-06,Low
keeps dropping pls fix bhai,1.91E-06,Low
unstable connection pls fix,2.06E-06,Low
please check internet very slow pls fix bhai,2.79E-06,Low
having wifi down continuously kya ho raha hai,0.99999857,High
still data loss problem since long time kya ho raha hai,1.98E-06,Low
facing router problem kya ho raha hai,1.96E-06,Low
wifi gone from last night kya ho raha hai,0.99999857,High
cannot access sites not resolved yet yaar,1.91E-06,Low
please check having buffering trouble continuously kya ho raha hai,2.09E-06,Low
disconnecting again and again since long time yaar,1.90E-06,Low
please check internet very slow since morning,2.67E-06,Low
disconnecting again and again pls fix,1.90E-06,Low
having buffering problem continuously kya ho raha hai,1.96E-06,Low
keeps dropping pls fix yaar,1.91E-06,Low
internet very very slow pls fix bhai,2.20E-06,Low
please check internet not wrkng pls fix,0.99999845,High
lag trouble since morning bhai,1.91E-06,Low
still no connection since long time bhai,0.99999857,High
still packet loss happening bhai,1.97E-06,Low
please check having wifi gone continuously kya masla hai,0.99999845,High
please check speed is low again kya ho raha hai,2.02E-06,Low
speed is low again yaar,1.92E-06,Low
please check ping too high from last night kya masla hai,2.00E-06,Low
please check facing keeps dropping bhai,2.09E-06,Low
please check delay in response again kya masla hai,2.01E-06,Low
net gone not resolved yet,0.99999857,High
please check facing wifi down yaar,0.99999845,High
facing internet not functioning since long time yaar,0.99999845,High
please check lag issue again kya ho raha hai,2.00E-06,Low
dns not resolving since morning,1.95E-06,Low
please check net slow bhai,2.23E-06,Low
still no connection kya ho raha hai,0.99999857,High
cannot access sites since long time kya masla hai,1.91E-06,Low
packet loss happening from last night bhai,1.92E-06,Low
disconnecting again and again since long time bhai,1.90E-06,Low
having net slow continuously since long time kya masla hai,2.06E-06,Low
please check data loss issue pls fix,2.00E-06,Low
still delay in response,1.98E-06,Low
unstable connection from last night kya ho raha hai,2.01E-06,Low
please check facing unstable connection kya masla hai,2.45E-06,Low
dns not resolving since long time,1.94E-06,Low
disconnecting again and again again since long time bhai,1.90E-06,Low
please check wifi down not resolved yet bhai,0.99999845,High
facing lag issue,1.97E-06,Low
internet not functioning from last night since long time bhai,0.99999857,High
buffering trouble,1.94E-06,Low
facing net gone since long time kya ho raha hai,0.99999845,High
facing keeps dropping yaar,1.97E-06,Low
keeps dropping what is this since long time kya ho raha hai,1.91E-06,Low
please check connection not working what is this yaar,0.99999845,High
having wifi gone continuously since long time kya ho raha hai,0.99999845,High
still keeps dropping bhai,1.98E-06,Low
please check still speed is low yaar,2.11E-06,Low
speed is low pls fix kya ho raha hai,1.92E-06,Low
connection gone again,0.99999857,High
wifi down not resolved yet since long time,0.99999857,High
packet loss happening since long time bhai,1.91E-06,Low
please check unstable connection what is this kya ho raha hai,2.23E-06,Low
ping too high bhai,1.92E-06,Low
having unstable connection continuously since long time bhai,2.04E-06,Low
intrnet not working,0.99999857,High
buffering issue what is this kya ho raha hai,1.91E-06,Low
still net too slow bhai,2.04E-06,Low
having no connection continuously yaar,0.99999857,High
facing keeps dropping since long time,1.95E-06,Low
facing router not working yaar,2.07E-06,Low
disconnecting again and again what is this bhai,1.90E-06,Low
still router not working since long time kya ho raha hai,2.07E-06,Low
facing unstable connection bhai,2.07E-06,Low
still disconnecting again and again since long time bhai,1.96E-06,Low
please check no connection from last night yaar,0.99999845,High
still net lagging since long time yaar,2.41E-06,Low
please check no connection not resolved yet,0.99999845,High
disconnecting again and again pls fix since long time,1.90E-06,Low
please check net gone what is this,0.99999845,High
connection gone from last night bhai,0.99999857,High
please check still internet not working,0.99999845,High
ping too high not resolved yet since long time bhai,1.92E-06,Low
please check still lag trouble kya masla hai,2.10E-06,Low
no connection pls fix,0.99999857,High
unstable connection since long time bhai,1.98E-06,Low
connection gone bhai,0.99999857,High
disconnecting again and again pls fix bhai,1.90E-06,Low
unstable connection pls fix kya ho raha hai,2.11E-06,Low
buffering trouble pls fix bhai,1.91E-06,Low
net slow,2.08E-06,Low
speed is low not resolved yet bhai,1.93E-06,Low
please check net not working pls fix kya ho raha hai,0.99999845,High
facing wifi down,0.99999857,High
please check keeps dropping from last night,2.01E-06,Low
cannot access sites yaar,1.92E-06,Low
internet very slow from last night bhai,2.34E-06,Low
having buffering issue continuously,1.97E-06,Low
please check still internet gone bhai,0.99999845,High
speed is low pls fix,1.92E-06,Low
still data loss trouble since long time yaar,1.97E-06,Low
dns not resolving since long time kya masla hai,1.94E-06,Low
please check delay in response yaar,2.01E-06,Low
net gone,0.99999857,High
wifi very slow since long time,2.90E-06,Low
please check keeps dropping,2.02E-06,Low
speed is low again bhai,1.92E-06,Low
keeps dropping from last night since long time kya ho raha hai,1.91E-06,Low
wifi gone what is this kya ho raha hai,0.99999857,High
please check disconnecting again and again what is this,2.01E-06,Low
please check still internet not functioning,0.99999845,High
still keeps dropping since long time,1.97E-06,Low
lag issue since long time yaar,1.90E-06,Low
please check buffering issue bhai,2.01E-06,Low
facing keeps dropping yaar,1.97E-06,Low
please check still ping too high bhai,2.06E-06,Low
dns not resolving since morning since long time kya ho raha hai,1.94E-06,Low
please check disconnecting again and again not resolved yet,2.01E-06,Low
net slow what is this yaar,2.03E-06,Low
please check ping too high again yaar,1.99E-06,Low
still wifi down since long time,0.99999857,High
please check net very slow bhai,2.10E-06,Low
please check net slow since morning kya ho raha hai,2.27E-06,Low
please check delay in response,2.01E-06,Low
wifi gone pls fix kya masla hai,0.99999857,High
please check router not running from last night bhai,2.10E-06,Low
dns not resolving again since long time,1.94E-06,Low
facing lag trouble yaar,1.97E-06,Low
still buffering trouble since long time kya ho raha hai,1.97E-06,Low
please check having unstable connection continuously bhai,2.32E-06,Low
wifi not wrkng since morning since long time,0.99999857,High
please check disconnecting again and again from last night bhai,2.01E-06,Low
wifi down again bhai,0.99999857,High
buffering problem pls fix bhai,1.91E-06,Low
speed is low from last night bhai,1.92E-06,Low
speed is low from last night bhai,1.92E-06,Low
please check buffering issue pls fix bhai,2.01E-06,Low
buffering issue what is this yaar,1.91E-06,Low
please check net very slow from last night yaar,2.11E-06,Low
router problem since morning bhai,1.91E-06,Low
still delay in response yaar,1.97E-06,Low
router problem since morning since long time yaar,1.90E-06,Low
unstable connection not resolved yet yaar,2.02E-06,Low
please check unstable connection from last night,2.27E-06,Low
please check having router not working continuously kya ho raha hai,2.31E-06,Low
no connection from last night yaar,0.99999857,High
lag problem pls fix,1.91E-06,Low
keeps dropping pls fix,1.92E-06,Low
ping too high again yaar,1.91E-06,Low
having unstable connection continuously bhai,2.05E-06,Low
intrnet very lagging again kya ho raha hai,2.09E-06,Low
still keeps dropping since long time yaar,1.96E-06,Low
net too slow not resolved yet since long time kya ho raha hai,2.02E-06,Low
facing wifi down kya masla hai,0.99999857,High
still disconnecting again and again yaar,1.96E-06,Low
please check keeps dropping not resolved yet bhai,2.02E-06,Low
disconnecting again and again pls fix kya ho raha hai,1.90E-06,Low
no connection from last night,0.99999857,High
please check data loss problem pls fix kya ho raha hai,2.00E-06,Low
speed is low since morning kya ho raha hai,1.92E-06,Low
net gone again yaar,0.99999857,High
please check dns not resolving not resolved yet yaar,2.11E-06,Low
please check still no connection,0.99999845,High
disconnecting again and again what is this bhai,1.90E-06,Low
unstable connection not resolved yet since long time kya masla hai,2.01E-06,Low
router not functioning pls fix since long time bhai,1.95E-06,Low
buffering issue what is this since long time bhai,1.91E-06,Low
unstable connection since morning since long time,1.98E-06,Low
keeps dropping since long time,1.91E-06,Low
still wifi down since long time,0.99999857,High
please check facing wifi down kya masla hai,0.99999845,High
please check data loss problem since morning yaar,2.00E-06,Low
packet loss happening since morning yaar,1.91E-06,Low
ping too high what is this bhai,1.92E-06,Low
please check disconnecting again and again from last night kya ho raha hai,2.02E-06,Low
packet loss happening pls fix,1.92E-06,Low
please check disconnecting again and again what is this,2.01E-06,Low
please check packet loss happening what is this bhai,2.00E-06,Low
having speed is low continuously bhai,1.96E-06,Low
still internet gone pls fix,0.99999845,High
speed is low from last night since long time bhai,1.92E-06,Low
speed is low from last night since long time,1.92E-06,Low
router problem not resolved yet yaar,1.91E-06,Low
cannot access sites not resolved yet yaar,1.91E-06,Low
please check net lagging from last night kya ho raha hai,2.92E-06,Low
keeps dropping pls fix kya ho raha hai,1.91E-06,Low
delay in response kya ho raha hai,1.92E-06,Low
packet loss happening since morning since long time,1.91E-06,Low
please check net very slow since morning bhai,2.10E-06,Low
no connection since morning kya ho raha hai,0.99999857,High
dns not resolving what is this bhai,1.94E-06,Low
speed is low pls fix bhai,1.92E-06,Low
please check speed is low pls fix bhai,2.02E-06,Low
please check still buffering issue,2.09E-06,Low
disconnecting again and again pls fix since long time bhai,1.90E-06,Low
please check internet very very slow again yaar,2.39E-06,Low
unstable connection not resolved yet since long time bhai,2.01E-06,Low
net slow again since long time,2.02E-06,Low
please check packet loss happening not resolved yet,2.00E-06,Low
please check net very slow pls fix,2.12E-06,Low
having buffering problem continuously bhai,1.97E-06,Low
wifi gone pls fix kya masla hai,0.99999857,High
please check still wifi down bhai,0.99999845,High
no connection pls fix,0.99999857,High
speed is low what is this,1.92E-06,Low
cannot access sites since morning kya ho raha hai,1.91E-06,Low
still buffering problem since long time yaar,1.96E-06,Low
net not wrkng not resolved yet since long time kya ho raha hai,0.99999845,High
facing net not working kya ho raha hai,0.99999845,High
disconnecting again and again what is this kya ho raha hai,1.90E-06,Low
speed is low from last night bhai,1.92E-06,Low
internet very slow kya ho raha hai,2.43E-06,Low
please check data loss issue what is this yaar,2.00E-06,Low
please check router problem not resolved yet,2.00E-06,Low
please check ping too high kya ho raha hai,2.00E-06,Low
internet not working bhai,0.99999857,High
still internet very too slow since long time yaar,2.24E-06,Low
still ping too high since long time kya ho raha hai,1.97E-06,Low
please check still internet not running,0.99999845,High
wifi down again kya ho raha hai,0.99999857,High
please check router problem from last night,2.00E-06,Low
router problem from last night,1.91E-06,Low
net too slow since morning bhai,2.01E-06,Low
wifi gone from last night yaar,0.99999857,High
please check unstable connection since morning,2.27E-06,Low
internet gone what is this kya ho raha hai,0.99999857,High
no connection pls fix yaar,0.99999857,High
lag issue pls fix kya ho raha hai,1.90E-06,Low
internet very slow what is this since long time bhai,2.29E-06,Low
dns not resolving not resolved yet since long time,1.95E-06,Low
data loss issue what is this since long time bhai,1.93E-06,Low
buffering issue pls fix bhai,1.91E-06,Low
please check disconnecting again and again,2.01E-06,Low
still net slow kya ho raha hai,2.15E-06,Low
no connection from last night kya ho raha hai,0.99999857,High
please check data loss trouble not resolved yet,2.01E-06,Low
internet gone not resolved yet since long time kya ho raha hai,0.99999857,High
still unstable connection yaar,2.13E-06,Low
internet not working again since long time kya masla hai,0.99999857,High
disconnecting again and again since morning bhai,1.90E-06,Low
router not functioning since morning since long time kya masla hai,1.94E-06,Low
please check still packet loss happening kya masla hai,2.06E-06,Low
facing buffering problem since long time bhai,1.96E-06,Low
please check dns not resolving not resolved yet bhai,2.11E-06,Low
please check no connection not resolved yet,0.99999845,High
no connection since morning since long time bhai,0.99999857,High
net gone pls fix kya ho raha hai,0.99999857,High
dns not resolving pls fix yaar,1.95E-06,Low
please check facing no connection yaar,0.99999845,High
lag issue again since long time,1.90E-06,Low
intrnet very slow from last night since long time yaar,2.05E-06,Low
keeps dropping again bhai,1.92E-06,Low
speed is low pls fix yaar,1.92E-06,Low
packet loss happening bhai,1.92E-06,Low
delay in response not resolved yet yaar,1.92E-06,Low
still wifi not working kya ho raha hai,0.99999857,High
unstable connection what is this since long time bhai,1.97E-06,Low
speed is low bhai,1.93E-06,Low
cannot access sites pls fix,1.91E-06,Low
please check delay in response what is this bhai,2.00E-06,Low
lag trouble since morning,1.91E-06,Low
net too slow pls fix kya ho raha hai,2.02E-06,Low
please check net too slow again,2.12E-06,Low
lag issue not resolved yet since long time bhai,1.91E-06,Low
data loss issue again since long time,1.92E-06,Low
disconnecting again and again kya ho raha hai,1.90E-06,Low
facing net slow kya ho raha hai,2.13E-06,Low
facing disconnecting again and again yaar,1.95E-06,Low
connection not working pls fix yaar,0.99999857,High
packet loss happening from last night yaar,1.91E-06,Low
having router not working continuously since long time bhai,2.03E-06,Low
router problem what is this since long time kya masla hai,1.91E-06,Low
please check facing net gone kya ho raha hai,0.99999845,High
net not working what is this bhai,0.99999845,High
connection gone kya ho raha hai,0.99999857,High
wifi down again since long time bhai,0.99999857,High
please check no connection,0.99999845,High
keeps dropping not resolved yet,1.92E-06,Low
having internet very very slow continuously since long time,2.16E-06,Low
please check data loss trouble again kya ho raha hai,2.00E-06,Low
please check internet very lagging pls fix yaar,4.96E-06,Low
having packet loss happening continuously,1.97E-06,Low
please check router problem pls fix,2.00E-06,Low
internet not working what is this yaar,0.99999857,High
please check having lag trouble continuously,2.08E-06,Low
still speed is low kya ho raha hai,1.98E-06,Low
please check net very slow from last night,2.11E-06,Low
internet very slow not resolved yet bhai,2.38E-06,Low
cannot access sites what is this since long time bhai,1.91E-06,Low
please check still keeps dropping bhai,2.09E-06,Low
wifi down from last night bhai,0.99999857,High
speed is low pls fix since long time,1.92E-06,Low
data loss problem not resolved yet yaar,1.93E-06,Low
disconnecting again and again pls fix kya ho raha hai,1.90E-06,Low
please check internet not functioning from last night bhai,0.99999845,High
no connection what is this bhai,0.99999857,High
no connection since morning kya ho raha hai,0.99999857,High
ping too high pls fix bhai,1.92E-06,Low
please check cannot access sites not resolved yet kya ho raha hai,2.02E-06,Low
speed is low from last night since long time kya ho raha hai,1.93E-06,Low
having speed is low continuously yaar,1.96E-06,Low
having unstable connection continuously kya ho raha hai,2.07E-06,Low
unstable connection pls fix since long time,2.04E-06,Low
having packet loss happening continuously,1.97E-06,Low
facing dns not resolving since long time kya masla hai,1.99E-06,Low
having net very slow continuously since long time kya masla hai,2.01E-06,Low
please check router not working what is this bhai,2.19E-06,Low
please check keeps dropping what is this kya ho raha hai,2.01E-06,Low
no connection not resolved yet since long time kya masla hai,0.99999857,High
please check still buffering issue yaar,2.09E-06,Low
please check internet gone not resolved yet,0.99999845,High
please check unstable connection again yaar,2.25E-06,Low
still internet not running,0.99999845,High
net slow what is this,2.04E-06,Low
still router not working yaar,2.09E-06,Low
no connection what is this yaar,0.99999857,High
disconnecting again and again what is this kya ho raha hai,1.90E-06,Low
cannot access sites not resolved yet since long time kya ho raha hai,1.92E-06,Low
please check keeps dropping pls fix kya ho raha hai,2.02E-06,Low
connection not working what is this since long time kya masla hai,0.99999857,High
internet very slow from last night yaar,2.35E-06,Low
router not working pls fix yaar,2.00E-06,Low
data loss problem since morning bhai,1.93E-06,Low
please check buffering issue again kya ho raha hai,2.01E-06,Low
ping too high since morning since long time kya masla hai,1.92E-06,Low
wifi down not resolved yet since long time,0.99999857,High
internet very very slow pls fix yaar,2.21E-06,Low
connection gone again since long time yaar,0.99999857,High
disconnecting again and again again since long time,1.89E-06,Low
please check keeps dropping from last night kya ho raha hai,2.02E-06,Low
having internet very slow continuously yaar,2.30E-06,Low
facing disconnecting again and again kya ho raha hai,1.95E-06,Low
net very slow again kya ho raha hai,2.00E-06,Low
having cannot access sites continuously,1.96E-06,Low
router not running again,1.93E-06,Low
lag issue not resolved yet kya ho raha hai,1.91E-06,Low
delay in response again,1.92E-06,Low
please check still speed is low bhai,2.10E-06,Low
having net lagging continuously,2.28E-06,Low
router problem since morning since long time bhai,1.90E-06,Low
please check ping too high from last night yaar,2.00E-06,Low
unstable connection since morning bhai,1.99E-06,Low
internet very too slow pls fix kya ho raha hai,2.24E-06,Low
facing packet loss happening bhai,1.96E-06,Low
facing cannot access sites,1.97E-06,Low
facing net slow since long time yaar,2.08E-06,Low
having router problem continuously kya ho raha hai,1.96E-06,Low
disconnecting again and again pls fix bhai,1.90E-06,Low
having lag trouble continuously since long time kya masla hai,1.96E-06,Low
unstable connection,2.02E-06,Low
ping too high from last night since long time kya ho raha hai,1.92E-06,Low
router problem since long time bhai,1.90E-06,Low
please check unstable connection from last night yaar,2.28E-06,Low
delay in response pls fix kya ho raha hai,1.92E-06,Low
still no connection kya ho raha hai,0.99999857,High
please check router problem since morning,2.00E-06,Low
still net very slow bhai,2.03E-06,Low
net lagging since morning since long time kya ho raha hai,2.38E-06,Low
please check still packet loss happening kya ho raha hai,2.06E-06,Low
router not functioning not resolved yet kya ho raha hai,1.96E-06,Low
still internet very slow kya ho raha hai,2.48E-06,Low
net slow what is this,2.04E-06,Low
internet very slow from last night bhai,2.34E-06,Low
please check ping too high not resolved yet yaar,2.00E-06,Low
net not working what is this since long time yaar,0.99999845,High
please check having net too slow continuously bhai,2.22E-06,Low
please check dns not resolving from last night,2.09E-06,Low
internet not working again since long time kya ho raha hai,0.99999857,High
still unstable connection since long time kya ho raha hai,2.09E-06,Low
data loss issue,1.94E-06,Low
speed is low pls fix bhai,1.92E-06,Low
please check packet loss happening from last night,2.00E-06,Low
disconnecting again and again not resolved yet kya ho raha hai,1.91E-06,Low
cannot access sites again,1.92E-06,Low
please check delay in response from last night yaar,2.01E-06,Low
net slow since morning,2.06E-06,Low
speed is low not resolved yet since long time kya masla hai,1.93E-06,Low
buffering trouble not resolved yet yaar,1.91E-06,Low
no connection from last night bhai,0.99999857,High
dns not resolving since long time kya masla hai,1.94E-06,Low
internet not running from last night bhai,0.99999857,High
internet gone since morning bhai,0.99999857,High
please check intrnet gone not resolved yet yaar,0.99999845,High
please check disconnecting again and again what is this kya masla hai,2.01E-06,Low
please check facing internet not working bhai,0.99999845,High
please check having internet very slow continuously yaar,2.74E-06,Low
still ping too high kya ho raha hai,1.97E-06,Low
keeps dropping what is this bhai,1.91E-06,Low
please check net slow from last night,2.25E-06,Low
please check speed is low what is this kya ho raha hai,2.02E-06,Low
internet not working again since long time bhai,0.99999857,High
facing data loss problem since long time yaar,1.96E-06,Low
facing speed is low,1.97E-06,Low
please check cannot access sites from last night bhai,2.01E-06,Low
please check internet not working not resolved yet,0.99999845,High
router problem pls fix,1.91E-06,Low
please check router not running again kya masla hai,2.10E-06,Low
lag issue yaar,1.92E-06,Low
please check still net slow kya ho raha hai,2.48E-06,Low
internet gone pls fix bhai,0.99999857,High
lag problem from last night since long time bhai,1.90E-06,Low
speed is low since long time kya ho raha hai,1.92E-06,Low
still lag issue bhai,1.98E-06,Low
net slow what is this kya masla hai,2.04E-06,Low
please check connection not working from last night,0.99999845,High
router problem again since long time yaar,1.90E-06,Low
having speed is low continuously since long time,1.96E-06,Low
please check wifi gone again kya ho raha hai,0.99999845,High
facing lag trouble bhai,1.97E-06,Low
buffering issue since morning yaar,1.91E-06,Low
still unstable connection since long time kya ho raha hai,2.09E-06,Low
please check intrnet very very slow again bhai,2.12E-06,Low
keeps dropping again since long time bhai,1.90E-06,Low
internet very too slow not resolved yet,2.23E-06,Low
still packet loss happening yaar,1.97E-06,Low
internet very very slow from last night since long time,2.19E-06,Low
lag trouble yaar,1.92E-06,Low
still internet not running yaar,0.99999845,High
net not working bhai,0.99999845,High
please check still net too slow bhai,2.26E-06,Low
please check ping too high since morning yaar,2.00E-06,Low
please check speed is low from last night kya ho raha hai,2.03E-06,Low
data loss trouble again since long time,1.92E-06,Low
speed is low again,1.93E-06,Low
